Mas Vnr Type_BrkFace,Mas Vnr Type_None,Mas Vnr Type_Stone,Garage Finish,Garage Type_Attchd,Garage Type_Detchd,Kitchen Qual,Heating QC,BsmtFin Type 1,Bsmt Exposure,Bsmt Cond,Bsmt Qual,Foundation_CBlock,Foundation_PConc,Exter Qual,Roof Style_Gable,Roof Style_Hip,Neighborhood_NAmes,Neighborhood_NoRidge,Neighborhood_Somerst,MS Zoning,MS SubClass_50,MS SubClass_60,Lot Frontage,Lot Area,Overall Qual,Year Built,BsmtFin SF 1,Total Bsmt SF,Gr Liv Area,TotRms AbvGrd,Garage Yr Blt,Garage Cars,Garage Area,Id,Total Flr SF
0,1,0,1,0,1,2,4,1,1,3,2,0,0,3,1,0,0,0,0,6,0,0,69.0,9142,6,1910,0,1020,1928,9,1910.0,1,440,2658,1928
0,1,0,3,1,0,3,3,1,1,3,4,1,0,3,1,0,0,0,0,8,0,0,0.0,9662,5,1977,0,1967,1967,10,1977.0,2,580,2718,1967
0,1,0,2,1,0,4,5,6,3,4,4,0,1,4,1,0,0,0,0,8,0,1,58.0,17104,7,2006,554,654,1496,7,2006.0,2,426,2414,1496
0,1,0,1,0,1,3,3,1,1,3,3,1,0,4,1,0,0,0,0,6,0,0,60.0,8520,5,1923,0,968,968,5,1935.0,2,480,1989,968
1,0,0,2,1,0,3,4,4,1,3,4,1,0,3,1,0,1,0,0,8,0,0,0.0,9500,6,1963,609,1394,1394,6,1963.0,2,514,625,1394
0,1,0,1,1,0,3,3,3,1,3,3,1,0,3,1,0,0,0,0,6,0,0,21.0,1890,4,1972,294,546,1092,5,1972.0,1,286,333,1092
0,1,0,1,0,1,3,3,1,1,3,3,1,0,3,1,0,0,0,0,6,0,0,52.0,8516,4,1958,0,869,1093,5,1959.0,1,308,1327,1093
0,1,0,1,0,1,4,3,5,3,4,4,1,0,3,1,0,0,0,0,8,0,0,0.0,9286,5,1977,196,1268,1268,5,1978.0,1,252,858,1268
0,1,0,2,1,0,4,5,1,1,3,4,0,1,4,1,0,0,0,1,7,0,0,39.0,3515,7,2004,0,840,1680,3,2004.0,2,588,95,1680
0,1,0,1,0,1,3,3,5,1,3,3,1,0,3,1,0,0,0,0,8,0,0,75.0,10125,6,1977,641,1196,1279,6,1980.0,2,473,1568,1279
0,1,0,2,1,0,4,4,6,1,3,4,0,1,4,1,0,0,0,0,8,0,0,50.0,7175,6,1991,278,1217,1217,5,1991.0,2,484,2482,1217
0,1,0,1,0,1,3,4,1,1,3,3,1,0,3,1,0,0,0,0,6,0,0,60.0,7200,6,1925,0,1040,1040,5,1993.0,2,320,1364,1040
0,1,0,1,1,0,3,5,1,1,3,3,1,0,3,0,1,1,0,0,8,0,0,75.0,11310,6,1954,0,1367,1375,5,1954.0,2,451,2584,1375
1,0,0,3,0,0,3,5,6,1,3,5,0,1,3,0,1,0,0,0,8,0,0,0.0,7976,7,2000,820,1168,2787,8,2000.0,4,820,818,2787
0,1,0,1,0,1,3,3,1,1,3,3,0,0,3,0,0,0,0,0,8,0,0,69.0,11737,6,1924,0,848,1827,9,1943.0,1,240,2673,1827
1,0,0,2,1,0,3,5,0,0,0,0,0,1,3,0,1,0,0,0,8,0,0,60.0,9060,5,1957,0,0,1340,7,1957.0,1,252,2089,1340
0,1,0,1,0,1,3,3,4,1,3,3,1,0,3,1,0,0,0,0,6,0,0,60.0,10800,6,1940,590,884,1436,8,1940.0,2,828,1297,1436
0,1,0,1,1,0,3,3,3,1,3,3,1,0,3,0,1,0,0,0,8,0,0,68.0,9571,5,1956,257,1073,1073,5,1956.0,1,340,790,1073
1,0,0,2,1,0,3,3,3,1,3,3,1,0,3,1,0,1,0,0,8,0,0,80.0,10800,6,1961,913,1313,1773,6,1961.0,2,418,2616,1773
0,1,0,1,1,0,4,4,4,1,3,3,0,0,4,1,0,0,0,0,6,0,0,121.0,17671,8,1882,216,916,1742,8,1925.0,2,424,720,1742
0,1,0,1,1,0,4,5,3,2,3,3,1,0,3,1,0,0,0,0,8,0,0,0.0,8246,5,1968,188,1060,1060,6,1968.0,1,270,222,1060
0,1,0,1,0,1,3,5,6,1,3,3,1,0,3,1,0,0,0,0,8,0,0,0.0,8499,5,1961,660,864,864,5,1982.0,2,732,557,864
0,1,0,2,1,0,4,5,2,1,3,4,0,1,4,1,0,0,0,0,8,0,0,50.0,8012,6,1993,165,1604,1617,5,1993.0,2,533,1148,1617
0,1,0,1,1,0,3,5,5,4,3,3,1,0,3,0,0,0,0,0,8,0,0,0.0,21453,6,1969,938,938,988,4,1969.0,2,540,2766,988
0,1,0,2,0,1,4,5,1,1,3,4,0,1,4,1,0,0,0,0,8,0,0,80.0,9605,7,2007,0,1218,1218,6,2007.0,2,576,534,1218
0,1,0,1,0,1,3,3,5,3,3,3,1,0,3,0,1,0,0,0,8,0,0,60.0,7180,5,1972,390,864,864,5,1989.0,1,352,1452,864
0,1,0,1,1,0,3,4,1,1,2,3,0,0,3,1,0,1,0,0,8,1,0,0.0,12513,4,1920,0,715,1738,7,1920.0,1,368,630,1738
0,1,0,1,0,1,5,3,1,1,2,2,0,0,3,1,0,0,0,0,6,0,0,50.0,9000,5,1880,0,636,1750,8,1937.0,1,240,2648,1750
1,0,0,2,1,0,4,5,6,4,3,3,0,1,3,1,0,1,0,0,8,0,0,80.0,8800,6,1963,763,936,1054,6,1963.0,2,480,125,1054
0,1,0,2,0,0,2,3,2,1,3,3,1,0,3,1,0,0,0,0,8,1,0,51.0,3500,3,1945,144,370,670,4,1945.0,0,0,1904,670
0,1,0,1,0,1,3,3,5,1,3,3,1,0,3,1,0,1,0,0,8,0,0,0.0,7340,4,1971,322,858,858,4,1979.0,1,684,1670,858
0,1,0,1,0,1,3,3,4,1,3,3,1,0,3,1,0,0,0,0,6,0,0,52.0,6240,4,1925,152,780,1208,5,1962.0,2,539,756,848
0,1,0,1,0,1,4,3,1,1,2,3,0,0,4,0,0,0,0,0,6,0,0,65.0,11700,7,1880,0,1240,2640,8,1950.0,4,864,717,2640
0,1,0,1,1,0,4,4,4,1,3,4,1,0,3,1,0,0,0,0,8,0,0,80.0,10000,5,1973,1084,1176,1178,5,1973.0,2,439,1032,1178
1,0,0,2,1,0,4,5,6,2,3,4,0,1,4,1,0,0,0,0,8,0,0,75.0,11166,7,2001,24,1492,1492,6,2001.0,2,608,852,1492
0,0,1,3,0,0,4,5,1,1,3,4,0,1,3,1,0,0,0,0,8,0,1,58.0,13204,7,2006,0,608,1458,6,2007.0,2,454,1731,1458
0,1,0,1,0,1,2,3,2,1,2,3,0,1,3,1,0,0,0,0,6,1,0,60.0,5520,4,1920,284,1147,1657,9,1920.0,1,162,2639,1657
0,1,0,1,0,0,3,3,0,0,0,0,0,0,2,1,0,0,0,0,8,0,0,0.0,9000,4,1945,0,0,998,5,1952.0,2,460,2071,998
0,1,0,1,1,0,4,4,1,3,3,3,0,0,4,1,0,1,0,0,8,0,0,74.0,8892,5,1953,0,105,910,5,1953.0,2,414,1267,910
0,1,0,1,0,1,4,5,1,1,3,4,0,1,4,1,0,0,0,1,7,0,0,73.0,7321,7,1999,0,1339,1358,5,1999.0,2,625,1851,1358
0,0,1,2,0,1,4,5,1,3,3,4,0,1,4,1,0,0,0,1,7,0,0,40.0,3951,6,2009,0,612,1224,4,2009.0,2,528,567,1224
0,1,0,3,1,0,4,4,1,1,3,4,0,1,4,1,0,0,0,0,8,0,1,0.0,11214,7,1998,0,930,1886,10,1998.0,2,431,2439,1886
0,1,0,1,0,1,4,4,3,1,3,3,1,0,3,1,0,1,0,0,8,0,0,75.0,7388,5,1959,405,1063,1327,7,1974.0,2,624,1898,1327
0,0,0,1,0,0,3,5,4,1,3,3,1,0,4,0,1,1,0,0,8,0,0,75.0,14559,5,1951,650,1008,1363,6,1951.0,1,288,647,1363
1,0,0,3,1,0,4,5,6,3,3,4,0,0,4,1,0,0,0,0,8,0,0,46.0,4054,7,1987,949,1501,1501,5,1987.0,2,512,2256,1501
0,1,0,2,0,0,3,3,1,1,3,3,1,0,3,1,0,0,0,0,6,0,0,21.0,1533,4,1970,0,546,1344,6,1970.0,0,0,979,1344
1,0,0,2,1,0,4,5,6,2,3,4,0,1,4,1,0,0,0,0,8,0,1,68.0,11250,7,2001,486,920,1786,6,2001.0,2,608,1444,1786
0,1,0,1,0,1,3,4,4,1,3,3,1,0,3,1,0,0,0,0,5,0,0,60.0,7800,5,1965,641,828,965,6,1979.0,1,300,2485,965
0,1,0,3,1,0,3,5,4,1,3,3,1,0,3,1,0,1,0,0,8,0,0,74.0,5868,5,1956,248,936,936,4,1956.0,1,308,157,936
0,1,0,3,1,0,3,2,5,1,3,3,1,0,3,1,0,0,0,0,8,0,0,75.0,7500,5,1963,824,1040,1040,5,1963.0,1,308,88,1040
0,1,0,1,0,1,3,4,2,1,3,3,1,0,3,1,0,0,0,0,6,1,0,52.0,9439,5,1930,324,912,1248,6,1957.0,1,160,2003,1248
0,1,0,1,0,1,4,5,1,1,2,2,0,0,4,1,0,0,0,0,6,0,0,50.0,9000,8,1890,0,346,2268,7,2003.0,2,624,186,2268
0,0,1,2,1,0,4,5,1,3,3,4,0,1,4,1,0,0,0,0,8,0,0,65.0,9345,8,2007,0,1615,1615,7,2007.0,3,864,1425,1615
0,1,0,1,0,1,4,5,1,1,3,3,1,0,3,1,0,0,0,0,6,1,0,60.0,7200,5,1938,0,803,1360,6,1951.0,1,297,2695,1360
1,0,0,3,1,0,3,4,3,1,3,3,0,0,3,1,0,0,0,0,6,1,0,60.0,6000,5,1924,220,468,1142,6,1924.0,1,320,738,1142
0,1,0,2,0,1,4,4,6,1,3,3,1,0,3,1,0,1,0,0,8,0,0,61.0,7930,6,1969,439,1026,1026,5,1969.0,2,440,395,1026
0,1,0,1,0,1,3,5,3,1,3,3,0,1,3,1,0,0,0,0,8,1,0,60.0,9120,7,1925,329,1026,1820,8,1925.0,1,240,1353,1820
0,1,0,1,0,1,3,3,5,1,3,3,1,0,3,0,1,1,0,0,8,0,0,0.0,9503,5,1958,457,1024,1344,6,1970.0,1,484,1878,1344
0,1,0,1,1,0,3,2,5,1,3,3,1,0,3,1,0,0,0,0,8,0,0,85.0,11050,7,1975,636,1176,1193,5,1975.0,2,506,390,1193
0,1,0,2,1,0,4,5,6,1,3,4,0,1,4,1,0,0,0,0,8,0,1,0.0,10316,7,2000,735,992,1865,7,2000.0,3,839,1456,1865
1,0,0,3,1,0,4,5,6,3,3,4,0,1,4,1,0,0,1,0,8,0,0,136.0,11675,8,1998,1660,1982,2006,5,1998.0,3,938,1103,2006
0,1,0,1,0,0,3,2,4,1,2,3,0,1,3,1,0,0,0,0,8,0,0,60.0,12900,5,1920,1300,1300,1140,6,1920.0,2,400,1387,1140
1,0,0,1,1,0,3,3,3,2,3,3,1,0,3,1,0,0,0,0,8,0,0,85.0,13770,5,1958,190,1158,1176,6,1958.0,1,303,2070,1176
0,1,0,3,1,0,3,3,5,1,4,4,1,0,3,1,0,0,0,0,8,0,1,0.0,13355,7,1971,583,825,1670,7,1971.0,2,464,1199,1670
0,1,0,2,1,0,4,5,5,1,3,4,0,1,4,1,0,0,0,0,8,0,1,65.0,7153,6,1992,387,761,1603,7,1992.0,2,484,2479,1603
1,0,0,3,1,0,4,5,4,3,3,4,0,1,4,0,1,0,1,0,8,0,0,0.0,10750,8,1994,236,2024,2063,7,1994.0,3,815,501,2063
0,1,0,2,0,0,3,3,4,1,3,3,1,0,3,1,0,1,0,0,8,0,0,0.0,8125,4,1971,614,858,858,5,1971.0,0,0,2362,858
0,0,1,2,1,0,4,5,5,3,3,4,0,1,4,1,0,0,0,0,8,0,0,34.0,3903,6,2005,1030,1302,1302,5,2005.0,2,631,1718,1302
0,1,0,2,0,0,4,5,3,1,3,3,0,0,3,1,0,0,0,0,5,0,0,70.0,4270,3,1931,544,544,774,6,1931.0,0,0,2188,774
1,0,0,2,1,0,4,5,6,4,3,4,0,1,4,1,0,0,0,0,6,0,0,0.0,4426,6,2004,697,848,848,3,2004.0,2,420,1483,848
1,0,0,1,0,1,3,4,1,2,3,2,0,1,3,1,0,0,0,0,8,0,0,52.0,5825,4,1926,0,600,747,5,1953.0,2,528,2557,747
0,0,1,3,0,0,5,5,6,3,3,5,0,1,4,1,0,0,0,0,8,0,1,59.0,23303,8,2007,1230,1508,2520,10,2007.0,3,640,437,2520
1,0,0,2,1,0,3,3,2,2,4,3,1,0,3,1,0,0,0,0,8,0,0,0.0,25485,6,1960,540,1560,1560,6,1960.0,2,580,2224,1560
1,0,0,2,1,0,4,4,1,1,3,4,0,1,4,1,0,0,0,0,8,0,0,0.0,10784,7,1991,0,384,1472,7,1991.0,2,402,1628,1472
1,0,0,1,1,0,3,5,5,1,3,4,1,0,3,1,0,1,0,0,8,0,0,0.0,8510,5,1971,500,1043,1050,6,1971.0,1,336,397,1050
1,0,0,2,1,0,3,2,5,3,3,4,1,0,3,1,0,0,0,0,8,0,0,0.0,17871,6,1967,528,1680,1724,7,1967.0,2,480,587,1724
0,0,1,3,0,0,5,5,6,4,3,5,0,1,5,0,1,0,0,0,8,0,1,130.0,40094,10,2007,2260,3138,4676,11,2007.0,3,884,2182,4676
1,0,0,1,1,0,3,3,0,0,0,0,0,0,3,0,1,0,0,0,8,0,0,100.0,21750,5,1960,0,0,1771,9,1960.0,2,336,971,1771
0,0,0,2,1,0,3,5,5,1,3,3,1,0,3,1,0,1,0,0,8,0,0,77.0,9510,6,1962,701,1135,1207,6,1962.0,1,264,2611,1207
0,1,0,2,1,0,3,3,0,0,0,0,0,0,3,1,0,1,0,0,8,0,0,0.0,8339,5,1959,0,0,882,5,1959.0,1,294,1887,882
1,0,0,3,1,0,5,5,6,4,3,5,0,1,5,0,1,0,0,0,8,0,0,131.0,14828,9,2004,1383,1780,1780,7,2004.0,3,816,2399,1780
1,0,0,2,1,0,4,5,1,1,3,4,0,1,4,1,0,0,0,0,8,0,0,70.0,8749,7,2002,0,1459,1459,6,2002.0,2,527,2148,1459
0,1,0,1,0,1,3,2,4,2,3,3,0,0,3,1,0,0,0,0,6,1,0,50.0,9140,6,1921,308,629,1107,5,1950.0,1,625,304,1107
0,1,0,1,0,1,4,4,3,1,2,3,0,0,3,0,0,0,0,0,6,0,0,60.0,3600,5,1930,316,687,1358,6,2004.0,1,336,1997,1358
0,1,0,1,1,0,3,4,3,1,3,4,1,0,3,1,0,0,0,0,8,0,0,67.0,8777,4,1910,173,676,1436,6,1950.0,2,528,2817,1436
0,1,0,2,1,0,4,4,6,4,3,4,0,1,3,1,0,0,0,0,8,0,1,79.0,12798,6,1997,462,616,1688,8,1997.0,2,603,1431,1688
1,0,0,2,1,0,5,5,1,1,3,5,0,1,5,0,1,0,0,0,8,0,0,98.0,12704,8,2008,0,2042,2042,8,2009.0,3,1390,427,2042
0,1,0,1,0,1,3,3,5,3,3,3,1,0,3,1,0,0,0,0,8,0,0,68.0,7480,5,1972,480,876,876,5,1977.0,2,484,263,876
1,0,0,2,1,0,3,2,6,3,3,4,1,0,3,0,1,0,0,0,8,0,0,0.0,16500,6,1971,962,1232,1320,5,1971.0,2,495,598,1320
1,0,0,2,1,0,3,3,1,1,3,4,1,0,4,0,1,0,0,0,8,0,0,0.0,16669,8,1981,0,1686,1707,6,1981.0,2,511,2895,1707
0,1,0,1,0,1,3,3,2,1,3,3,1,0,3,1,0,1,0,0,8,1,0,60.0,8064,6,1948,120,864,1495,6,1994.0,2,576,687,1064
0,1,0,1,0,1,4,4,5,1,3,3,1,0,3,1,0,0,0,0,8,0,0,0.0,7758,5,1962,588,999,999,6,1963.0,1,264,1822,999
0,1,0,1,0,1,3,4,1,1,3,2,1,0,3,1,0,0,0,0,8,1,0,70.0,11767,4,1910,0,560,1346,6,1950.0,1,384,2191,1346
0,1,0,1,0,1,2,4,1,1,3,4,0,1,3,1,0,0,0,0,6,0,0,50.0,6900,6,1938,0,827,1251,6,1938.0,1,240,179,1251
0,1,0,3,1,0,4,4,6,2,3,4,0,1,4,1,0,0,0,0,8,0,0,40.0,4671,8,1988,767,1228,1228,5,1988.0,2,472,1009,1228
0,1,0,1,0,1,3,5,3,1,3,3,1,0,3,1,0,0,0,0,6,1,0,50.0,6125,5,1939,306,728,1274,6,1939.0,1,224,2010,1274
0,1,0,1,0,1,3,3,2,1,3,3,0,0,3,0,0,0,0,0,6,0,0,53.0,9863,6,1927,196,728,1642,9,1927.0,1,374,1991,1642
0,1,0,1,1,0,4,3,3,3,3,3,1,0,3,0,1,0,0,0,8,0,0,68.0,9571,5,1956,870,1509,1509,6,1956.0,1,322,1411,1509
0,0,1,2,1,0,4,5,6,2,4,4,0,1,4,1,0,0,0,0,8,0,0,34.0,4590,8,2006,24,1554,1554,6,2006.0,2,627,1721,1554
0,1,0,2,1,0,4,5,6,1,3,4,0,1,4,1,0,0,0,0,8,0,1,65.0,8450,6,2001,472,827,1677,7,2001.0,2,627,1144,1677
0,1,0,3,1,0,4,5,6,1,3,4,0,1,4,1,0,0,0,0,8,0,1,70.0,8400,8,2001,643,810,1665,6,2001.0,2,528,593,1665
1,0,0,3,1,0,5,5,6,4,4,4,1,0,5,1,0,0,0,0,8,0,0,0.0,14694,8,1977,1252,1694,1694,5,1977.0,2,642,575,1694
1,0,0,3,1,0,3,3,1,1,3,3,1,0,3,1,0,1,0,0,8,0,0,95.0,14250,6,1957,0,998,1790,6,1957.0,2,540,1249,1790
0,1,0,1,1,0,3,3,5,1,3,3,1,0,3,1,0,0,0,0,8,0,0,37.0,6951,5,1984,658,876,923,5,1984.0,1,264,1604,923
0,0,1,3,1,0,5,5,6,4,3,5,0,1,5,0,1,0,0,0,8,0,0,106.0,12720,10,2003,2257,2535,2470,7,2003.0,3,789,1064,2470
0,1,0,1,1,0,3,5,3,1,3,3,1,0,3,1,0,1,0,0,8,0,0,90.0,11988,6,1957,777,1244,1244,6,1957.0,1,336,1923,1244
0,1,0,2,0,0,4,4,5,1,3,3,1,0,3,1,0,0,0,0,6,0,0,40.0,3880,5,1945,329,686,866,4,1945.0,0,0,1988,866
1,0,0,3,1,0,4,4,5,1,3,4,0,1,3,1,0,0,0,0,8,0,1,0.0,7685,6,1993,518,697,1501,6,1993.0,2,420,2325,1501
0,1,0,2,1,0,3,3,5,2,3,4,0,1,3,1,0,0,0,0,8,1,0,0.0,18837,6,1978,687,1224,1891,7,1978.0,2,678,114,1891
0,1,0,1,0,1,3,3,1,1,3,3,1,0,3,1,0,0,0,0,8,0,0,120.0,11136,6,1964,0,1921,1921,8,1964.0,2,576,2700,1921
1,0,0,2,0,0,3,3,5,1,3,3,1,0,2,1,0,0,0,0,8,0,0,72.0,10773,4,1967,704,1832,1832,8,1967.0,0,0,217,1832
1,0,0,2,1,0,3,3,2,1,3,3,1,0,3,0,1,1,0,0,8,0,0,85.0,10200,6,1974,844,1434,1434,7,1974.0,2,528,343,1434
0,1,0,3,1,0,4,5,1,1,3,4,0,1,4,1,0,0,0,1,7,0,1,0.0,7500,8,2000,0,1058,1874,7,2000.0,2,588,386,1874
0,1,0,2,1,0,3,5,0,0,0,0,0,0,3,1,0,0,0,0,6,0,0,76.0,11800,4,1949,0,0,1382,6,1957.0,1,384,2005,1382
0,1,0,2,0,0,3,5,1,1,3,4,0,1,3,1,0,0,0,0,8,0,0,90.0,17217,5,2006,0,1140,1140,6,2006.0,0,0,2908,1140
0,1,0,2,1,0,4,5,6,4,3,4,0,1,4,1,0,0,0,0,8,0,0,0.0,16196,7,1998,1443,1482,1494,5,1998.0,2,514,1814,1494
1,0,0,3,1,0,4,5,6,4,3,5,0,1,4,0,1,0,1,0,8,0,1,118.0,35760,10,1995,1387,1930,3627,10,1995.0,3,807,2446,3627
0,1,0,1,0,1,4,4,1,1,3,4,0,0,3,1,0,0,0,0,6,0,0,76.0,7630,5,1900,0,360,1812,8,1999.0,2,672,208,1812
1,0,0,1,0,1,3,3,1,1,3,3,1,0,3,1,0,0,0,0,6,0,0,24.0,2016,5,1970,0,630,1302,6,1970.0,2,440,1679,1302
0,0,1,2,1,0,5,5,6,4,3,5,0,1,5,1,0,0,0,0,8,0,0,65.0,10816,9,2008,1104,1720,1720,8,2008.0,3,846,822,1720
1,0,0,3,1,0,4,5,6,1,3,3,0,1,3,1,0,0,0,0,8,0,1,78.0,9978,6,1998,602,926,1604,7,1998.0,2,470,6,1604
1,0,0,3,1,0,5,5,6,3,3,5,0,1,5,0,1,0,0,1,8,0,0,98.0,12291,10,2007,1572,1966,1966,6,2007.0,3,1092,1781,1966
0,0,1,3,0,0,5,5,1,2,3,4,0,1,4,1,0,0,0,0,8,0,1,86.0,11065,8,2006,0,1085,1970,8,2006.0,3,753,2397,1970
1,0,0,3,1,0,4,5,6,4,3,5,0,1,4,0,1,0,0,0,8,0,0,60.0,8147,9,2005,1191,1714,1714,7,2005.0,2,517,2340,1714
0,1,0,3,1,0,3,4,6,3,3,4,0,1,3,1,0,0,0,0,8,0,1,0.0,13869,6,1997,182,794,1470,6,1997.0,2,388,1618,1470
0,1,0,1,0,1,3,3,1,1,2,3,0,1,4,1,0,0,0,0,8,0,0,60.0,6204,4,1912,0,795,2230,10,1997.0,1,440,2843,1749
1,0,0,3,0,0,5,5,6,3,3,5,0,1,4,1,0,0,0,0,8,0,1,102.0,12151,9,2005,1249,1414,2331,9,2005.0,3,1003,1061,2331
0,1,0,2,1,0,3,5,3,2,3,3,1,0,3,0,1,0,0,0,8,0,0,120.0,9560,5,1972,360,864,864,5,1972.0,1,288,2786,864
0,1,0,1,1,0,4,4,4,1,3,3,1,0,3,1,0,1,0,0,8,0,0,66.0,8923,5,1953,643,1008,1008,6,1953.0,1,240,1935,1008
0,1,0,2,0,0,3,3,5,1,3,3,0,0,3,1,0,0,0,0,6,1,0,60.0,5520,5,1920,68,565,1216,6,1920.0,1,355,1341,1216
0,0,1,2,1,0,4,5,1,3,3,4,0,1,4,1,0,0,0,1,7,0,0,112.0,12606,9,2007,0,1530,1530,7,2008.0,3,984,521,1530
1,0,0,1,0,1,3,3,6,3,3,4,1,0,3,1,0,0,0,0,8,0,0,59.0,8660,5,1976,502,1015,1025,6,1979.0,2,370,2136,1025
0,1,0,3,1,0,3,4,6,4,3,4,0,1,3,1,0,0,0,0,8,0,1,59.0,9042,6,1998,828,943,1638,7,1998.0,2,472,996,1638
0,1,0,1,1,0,3,5,3,1,4,3,1,0,3,1,0,0,0,0,8,0,1,86.0,11227,5,1968,267,720,1440,7,1968.0,2,480,227,1440
1,0,0,1,1,0,4,4,6,4,3,3,1,0,3,1,0,1,0,0,8,0,0,75.0,11380,6,1966,944,1080,1128,5,1966.0,1,315,135,1128
0,0,1,1,0,1,3,4,6,1,3,4,0,1,3,1,0,0,0,1,7,0,0,24.0,2280,6,1999,550,744,1549,6,1999.0,2,440,1167,1549
1,0,0,1,1,0,3,5,5,1,3,4,0,0,4,1,0,0,0,0,8,1,0,78.0,10452,7,1941,426,1528,2133,8,1941.0,1,312,294,2133
0,1,0,1,1,0,4,5,1,1,3,4,0,1,4,1,0,0,0,1,8,0,0,75.0,9910,7,2007,0,1369,1369,5,2007.0,2,605,1776,1369
0,1,0,1,0,1,4,5,1,1,3,4,0,1,4,1,0,0,0,0,8,0,0,63.0,13072,7,2004,0,1114,1114,6,2005.0,2,576,540,1114
0,0,1,2,1,0,4,5,5,3,3,4,0,1,4,1,0,0,0,0,8,0,0,34.0,3901,6,2005,866,1302,1302,5,2005.0,2,631,1717,1302
0,1,0,3,1,0,3,3,5,1,3,4,1,0,3,1,0,0,0,0,8,0,0,65.0,11625,5,1983,596,816,816,4,1983.0,1,264,2303,816
0,1,0,2,1,0,4,3,5,1,3,3,1,0,3,0,1,0,0,0,8,0,0,78.0,9360,6,1972,982,1161,1381,5,1972.0,2,676,116,1381
